S0,Ces,chatons,s'amusent,à,grimper,aux,rideaux,de,la,cuisine.,,,,Le,paquebot,rentre,au,port,et,le,remorqueur,manoeuvre,lentement.,,,,Ce,manager,est,un,bon,encadrant,et,le,stagiaire,s'active.
S0,Ce,soir,les,marins,s'agacent,en,entendant,les,mouettes,rieuses.,,,,Ce,cinéaste,a,présenté,son,film,et,l'audience,était,déroutée.,,,,La,forêt,brûle,souvent,et,la,terre,est,très,fertile.
S0,La,cantatrice,s'affole,en,découvrant,une,souris,dans,son,lit.,,,,Le,voleur,blessé,est,affaibli,et,son,complice,s'est,enfui.,,,,Le,concierge,se,fâche,quand,le,locataire,joue,du,violon.
S0,La,mairie,a,fait,venir,en,renfort,des,employés,inoccupés.,,,,Le,facteur,est,tombé,amoureux,de,Cécile,juste,en,l'apercevant.,,,,Les,maisons,de,banlieue,sont,détruites,et,des,immeubles,apparaissent.
S0,La,moto,dépasse,le,scooter,et,s'engage,dans,la,pente.,,,,Les,soldats,plus,courageux,avancent,tandis,que,les,officiers,désertent.,,,,Le,professeur,regrette,d'avoir,administré,aux,élèves,cette,punition,excessive.
S0,La,photo,provoque,un,effet,étrange,en,s’affichant,à,l'envers.,,,,Les,moustiques,résistent,aux,insecticides,et,les,maladies,se,développent.,,,,Le,sportif,russe,s'entraîne,assidûment,alors,que,son,adversaire,flâne.
S0,La,société,a,affrété,un,bateau,pour,traverser,la,Manche.,,,,Le,maçon,finit,la,pièce,et,le,stagiaire,attend,dehors.,,,,Le,petit,chaperon,rouge,court,pour,rejoindre,sa,vieille,grand-mère.
S0,Le,comédien,était,excellent,et,le,public,l'a,applaudit,longuement.,,,,Elle,exige,d'éliminer,cette,solution,insensée,et,de,décider,seule.,,,,Les,dirigeants,dépriment,lorsque,les,ouvriers,les,plus,compétents,partent.
S0,Le,joueur,a,sorti,une,carte,en,dissimulant,son,mouvement.,,,,Ce,chien,est,peureux,et,les,chats,sauvages,prospèrent,ici.,,,,La,hyène,est,encore,aux,aguets,quand,le,lion,dort.
S0,Le,président,a,regretté,d'avoir,prononcé,des,phrases,très,agressives.,,,,Ce,cycliste,inconnu,est,arrivé,second,et,le,journaliste,s'interroge.,,,,Le,dessert,au,chocolat,arrive,pendant,que,le,café,refroidit.
S0,Depuis,que,l'économie,a,ralentie,le,problème,bancaire,est,apparu.,,,,En,hiver,les,autoroutes,sont,dégagées,et,les,départementales,ferment.,,,,Le,chien,convoite,le,rôti,en,se,léchant,les,babines.
S0,Les,clients,empruntent,ces,escaliers,pour,rejoindre,l'entrée,de,l'hôtel.,,,,Le,moineau,chante,à,tue-tête,pendant,que,le,chat,somnole.,,,,Le,contrôleur,est,présumé,innocent,mais,le,juge,enquête,toujours.
S0,Le,scooter,freine,aussitôt,que,le,vélo,rouge,foncé,s'arrête.,,,,Le,festival,débute,aujourd'hui,et,le,clown,prépare,son,numéro.,,,,Le,pompier,a,sauvé,une,jeune,femme,en,bravant,l’incendie.
S0,Les,filles,très,actives,s'amusent,pendant,que,les,garçons,dorment.,,,,Les,nappes,sales,s'entassent,pendant,que,les,draps,propres,sèchent.,,,,Des,vents,forts,soufflent,dès,que,la,saison,froide,arrive.
S0,Marie,a,informé,Jean,en,lui,disant,toute,la,vérité.,,,,Les,bars,branchés,prospèrent,depuis,que,les,restaurants,ferment,tôt.,,,,Le,boxeur,adverse,est,mauvais,et,le,champion,gagne,facilement.
S0,Un,camion,pressé,a,klaxonné,la,voiture,qui,avance,lentement.,,,,Au,musée,les,parents,râlent,car,leurs,enfants,fatigués,traînent.,,,,La,star,a,vraiment,raté,ce,concert,en,chantant,faux.
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
S1,Ce,sont,ces,rideaux,que,les,châtons,abiment,en,grimpant.,,,,Le,paquebot,que,le,puissant,remorqueur,tire,rentre,au,port.,,,,Le,stagiaire,encore,débutant,que,le,manager,compétent,encadre,s'active.
S1,Ce,sont,des,employés,que,la,mairie,a,fait,venir.,,,,Le,voleur,que,son,complice,déloyal,a,abandonné,est,affaibli.,,,,En,banlieue,les,maisons,que,les,immeubles,modernes,remplacent,disparaissent.
S1,Ce,sont,les,marins,que,les,mouettes,agacent,en,criant.,,,,Le,film,conceptuel,que,ce,cinéaste,présente,au,festival,déroute.,,,,La,forêt,vierge,qui,couvre,les,régions,tropicales,brûle,souvent.
S1,Ces,sont,les,phrases,que,le,président,regrette,d'avoir,prononcées.,,,,Le,cycliste,que,le,célèbre,rédacteur,interroge,est,arrivé,second.,,,,Le,café,qui,accompagne,le,dessert,au,chocolat,a,refroidi.
S1,C’est,Jean,que,Marie,a,informé,en,lui,disant,tout.,,,,Les,bars,branchés,qui,ont,remplacé,les,anciens,restaurants,prospèrent.,,,,Comme,prévu,le,champion,sortant,dont,l'adversaire,est,mauvais,gagne.
S1,C'est,la,cantatrice,qu'une,souris,blanche,avait,effrayée,en,couinant.,,,,C'est,de,Jeanne,que,Paul,est,tombé,amoureux,en,l'apercevant.,,,,Le,locataire,qui,joue,du,violon,irrite,le,concierge,mélomane.
S1,C'est,le,bateau,que,j'ai,affrété,pour,traverser,l'océan,Atlantique.,,,,Le,maçon,qu'un,stagiaire,assiste,finit,la,chambre,à,coucher.,,,,Les,soldats,que,les,officiers,critiquent,se,sont,battus,vaillament.
S1,C'est,l'escalier,que,les,clients,empruntent,pour,rejoindre,leurs,chambres.,,,,Le,chat,qui,guête,le,moineau,se,prépare,à,bondir.,,,,Le,contrôleur,que,le,juge,soupçonne,est,néanmoins,présumé,innocent.
S1,C'est,l'idée,que,la,photo,lui,a,suggérée,en,s’affichant.,,,,Les,maladies,dangeureuses,que,les,moustiques,véhiculent,en,Afrique,diminuent.,,,,Le,coureur,courageux,qui,s'entraînait,assidûment,a,battu,son,adversaire.
S1,C’est,une,carte,que,le,joueur,cache,dans,sa,poche.,,,,Les,chats,sauvages,que,ce,chien,peureux,craint,prospèrent,ici.,,,,Au,crépuscule,le,lion,roux,que,la,hyène,guette,dort.
S1,Des,garçons,qui,attirent,l'attention,des,filles,font,du,bruit.,,,,Les,draps,propres,qui,sèchent,au,soleil,seront,bientôt,retirés.,,,,Les,vents,très,forts,qui,annoncent,la,saison,froide,augmentent.
S1,La,mobylette,qui,renverse,le,vélo,rouge,n'a,pas,freiné.,,,,Le,festival,que,le,brillant,ténor,inaugure,aujourd'hui,va,commencer.,,,,C'est,la,femme,que,le,pompier,a,sauvée,en,l'abritant.
S1,La,moto,qui,dépasse,le,scooter,s'engage,dans,la,pente.,,,,C'est,sa,grand-mère,que,le,petit,chaperon,rouge,court,visiter.,,,,C’est,une,punition,violente,que,le,professeur,regrette,d'avoir,administrée.
S1,Le,camion,très,pressé,qui,dépasse,la,voiture,accidentée,l'éclabousse.,,,,Au,musée,les,enfants,que,les,parents,grondent,sont,embarrassés,,,,C’est,ce,concert,que,la,chanteuse,rata,en,chantant,faux.
S1,Le,comédien,que,le,public,ému,a,applaudit,était,splendide.,,,,C'est,cette,solution,insensée,qu’elle,exige,d'éliminer,en,décidant,seule.,,,,Les,patrons,qui,perdent,les,ouvriers,les,plus,compétents,dépriment.
S1,L'économie,qui,tourne,au,ralenti,aggrave,le,problème,des,banques.,,,,En,hiver,les,départementales,que,longent,les,autoroutes,dégagées,ferment.,,,,C'est,le,rôti,que,le,chien,convoite,en,le,reniflant.
