1,La,cantatrice,s'affole,en,découvrant,une,souris,dans,son,lit.,,,,Le,voleur,blessé,est,affaibli,et,son,complice,s'est,enfui,,,,Le,concierge,se,fâche,quand,le,locataire,joue,du,violon.,,
2,Des,garçons,qui,attirent,l'attention,des,filles,font,du,bruit.,,,,Les,draps,propres,qui,sèchent,au,soleil,seront,bientôt,retirés.,,,,Les,vents,très,forts,qui,annoncent,la,saison,froide,augmentent.,,
3,Cm,gjwcpsbnt,ltn,nccmstxh,lt,tggjs,pbbtq,bcc,gbx,rmxtrtdb.,,,,sg,phqsmdzj,ppl,nt,hbbjlbdg,cnrnvt,hcqrkfbp,lcqtdcfmrvk,nc,kgvdfshhtl.,,,,ftksv,ts,svnbd,ngm,vr,nrvxvtc,l,lvlvkqt,tm,djrqqdnhdgsc.,,
1,Un,camion,pressé,a,klaxonné,la,voiture,qui,avance,lentement.,,,,Au,musée,les,parents,râlent,car,leurs,enfants,fatigués,traînent.,,,,La,star,a,vraiment,raté,ce,concert,en,chantant,faux.,,
2,C'est,l'idée,que,la,photo,lui,a,suggérée,en,s’affichant.,,,,Les,maladies,dangeureuses,que,les,moustiques,véhiculent,en,Afrique,diminuent.,,,,Le,coureur,courageux,qui,s'entraînait,assidûment,a,battu,son,adversaire.,,
3,Vfd,ltdxtblj,qzr,gcnkjrns,nmvdsngsh,rdk,bfpnps,sdrp,cs,sdcjlt.,,,,bss,vltqr,tgwvsb,tps,ztkwvgvs,mx,kslsms,nbdhpk,xcmnfpjp,pcpmljsnp.,,,,kfq,gmmkr,lsjns,bthgj,jsh,kkjnmdwcv,fq,stgvtq,rkbnrb,lglmhkgkkcnc.,,
1,Marie,a,informé,Jean,en,lui,disant,toute,la,vérité.,,,,Les,bars,branchés,prospèrent,depuis,que,les,restaurants,ferment,tôt.,,,,Le,joueur,adverse,est,mauvais,et,le,boxeur,gagne,facilement.,,
2,Le,comédien,que,le,public,ému,a,applaudit,était,splendide.,,,,C'est,cette,solution,insensée,qu’elle,exige,d'éliminer,en,décidant,seule.,,,,Les,patrons,qui,perdent,les,ouvriers,les,plus,compétents,dépriment.,,
3,Sl,vwfj,tlq,ksnnsbmbj,nvf,qv,cvlmsp,q,qlqx,njdsrl.,,,,qs,bkzgmj,dfc,cjg,fldtbffq,gqxkktct,s,rxtsgcbnkb,flq,cfpnvvpqm.,,,,gf,fcddlftp,mrn,dgggslt,pmt,vtr,nfhrqkjbq,bsxxxrfp,qsnnpcbfst,tzzsznmnvbjvssh.,,
1,Ce,soir,les,marins,s'agacent,en,entendant,les,mouettes,rieuses.,,,,Ce,cinéaste,a,présenté,un,film,et,l'audience,était,déroutée.,,,,La,forêt,brûle,souvent,là,où,la,terre,aride,meurt.,,
2,Ces,sont,les,phrases,que,le,président,regrette,d'avoir,prononcées.,,,,Le,cycliste,que,le,célèbre,rédacteur,interroge,est,arrivé,second.,,,,Le,café,qui,accompagne,le,dessert,au,chocolat,a,refroidi.,,
3,Sr,qjjdftlxnd,rslxbjtf,bd,nmfzblgksnn,pss,nlnqsb,gjgp,hnq,lglf.,,,,hp,hsmddj,bbhsdjp,kcj,hsplllnq,gt,lqt,tvpglgnt,rsbls,dqqcv.,,,,kk,kjrfdlrpk,bg,vpmcfj,jvkss,kh,fjzsqlrxg,bxgm,gw,gqgcsmss.,,
1,La,société,a,affrété,un,bateau,pour,traverser,la,Manche.,,,,Le,maçon,finit,la,pièce,et,le,stagiaire,attend,dehors.,,,,Les,soldats,plus,courageux,avancent,tandis,que,les,officiers,désertent.,,
2,Ce,sont,des,employés,que,la,mairie,a,fait,venir.,,,,Le,voleur,que,son,complice,déloyal,a,abandonné,est,affaibli.,,,,En,banlieue,les,maisons,que,les,immeubles,modernes,remplacent,disparaissent.,,
3,Jkr,lmrmscs,ntxrnhfkr,mq,bfdrlll,svt,gmbpjvg,cy,pz,nwrtnffm.,,,,cq,qdhfhlsm,gftrdr,rg,qkdn,zs,cd,xcgqngwhjf,pkfbsvtnp,qlnnrnskqf.,,,,ls,kspqjtb,pds,dm,pfp,mnzcppcdg,ns,ph,pdrbfmrtr,rdqjpgpjgp.,,
1,Les,clients,empruntent,ces,escaliers,pour,rejoindre,l'entrée,de,l'hôtel.,,,,Le,moineau,chante,à,tue-tête,pendant,que,le,chat,somnole.,,,,Le,contrôleur,est,présumé,innocent,mais,le,juge,enquête,toujours.,,
2,La,mobylette,qui,renverse,le,vélo,rouge,n'a,pas,freiné.,,,,Le,festival,que,le,brillant,ténor,inaugure,aujourd'hui,va,commencer.,,,,C'est,la,femme,que,le,pompier,a,sauvée,en,l'abritant.,,
3,Pn,sskjlt,snpcdsq,g,qdpbqbbtn,dp,xxwbvqj,htt,ndlbqh,nmtkfrfdlr.,,,,kc,kfsbjn,dcs,rkdqlzr,dfjpndj,nnk,vcgrn,qqgtqfq,tlhcsrfpc,pplbsrjpnj.,,,,sg,bxsf,x,lmngkqbt,pdcps,rk,gsqmfdg,hc,qrpdttwg,sqvfbt.,,
1,La,moto,dépasse,le,scooter,et,s'engage,dans,la,pente.,,,,Les,soldats,plus,courageux,avancent,tandis,que,les,officiers,désertent.,,,,Le,professeur,regrette,d'avoir,administré,aux,élèves,cette,punition,violente.,,
2,L'économie,qui,tourne,au,ralenti,aggrave,le,problème,des,banques.,,,,En,hiver,les,départementales,que,longent,les,autoroutes,dégagées,ferment.,,,,C'est,le,rôti,que,le,chien,convoite,en,le,reniflant.,,
3,Vgkdlbltb,trt,ddkdtx,pz,nrpbhtm,ctsgqtk,vf,ptmmcfkjh,pjd,nbvxlzsc.,,,,xl,trsfv,fpg,wbnjgbkgbhb,ttg,rcbfqrp,ppz,lvglrjdjlb,txtszpfpsk,qshtkltf.,,,,bjhjf,qb,rbfqs,dtg,pw,djgvf,vspktpcs,jp,qb,rfgsmtsvj.,,
1,Ces,chatons,s'amusent,à,grimper,aux,rideaux,de,la,cuisine.,,,,Le,paquebot,rentre,au,port,et,le,remorqueur,manoeuvre,lentement.,,,,Ce,manager,est,un,bon,encadrant,et,le,stagiaire,s'active.,,
2,C’est,une,carte,que,le,joueur,cache,dans,sa,poche.,,,,Les,chats,sauvages,que,ce,chien,peureux,craint,prospèrent,ici.,,,,En,soirée,le,lion,roux,que,la,hyène,guette,dort.,,
3,Jsjrlsg,krs,vrztc,snq,lr,srpllf,mfqdn,gsbt,xq,nqtbmb.,,,,scj,pbspg,tjbdsdlc,hff,db,hptsc,hbspfvp,cjsbsw,dfqjmpnqzst,mjrr.,,,,jp,vpstqpl,bt,dkfs,btnr,jfd,sr,ggxchs,jlctcg,crnmsv.,,
,,,,,,,,,,,,avg,,,,,,,,,,,,,avg,,,,,,,,,,,,,avg
1,2,10,8,2,10,3,6,4,3,4,,5.2,,2,6,6,3,8,2,3,8,5,5,,4.8,,2,9,2,5,5,2,9,4,2,7,,4.7
2,3,7,3,8,11,3,6,4,2,6,,5.3,,3,5,7,3,7,2,6,6,7,8,,5.4,,3,5,4,5,3,9,2,6,6,11,,5.4
3,2,9,3,8,2,5,5,3,3,9,,4.9,,2,8,3,2,8,6,8,11,2,11,,6.1,,5,2,5,3,2,7,1,7,2,13,,4.7
1,2,6,6,1,8,2,7,3,6,10,,5.1,,2,5,3,7,6,3,5,7,8,9,,5.5,,2,4,1,8,4,2,7,2,8,5,,4.3
2,5,6,3,2,5,3,1,8,2,12,,4.7,,3,8,12,3,3,10,10,2,7,10,,6.8,,2,7,9,3,12,10,1,5,3,11,,6.3
3,3,8,3,8,9,3,6,4,2,7,,5.3,,3,5,6,3,8,2,6,6,8,10,,5.7,,3,5,5,5,3,9,2,6,6,13,,5.7
1,5,1,7,4,2,3,6,5,2,7,,4.2,,3,4,8,10,6,3,3,11,7,4,,5.9,,2,6,7,3,7,2,2,6,5,11,,5.1
2,2,8,3,2,6,3,1,9,5,10,,4.9,,5,5,8,8,7,5,10,2,8,6,,6.4,,3,7,3,7,3,8,3,4,10,10,,5.8
3,2,4,3,9,3,2,6,1,4,7,,4.1,,2,6,3,3,8,8,1,10,3,10,,5.4,,2,8,3,7,3,3,9,8,10,16,,6.9
1,2,4,3,6,9,2,9,3,8,8,,5.4,,2,8,1,8,2,4,2,10,5,9,,5.1,,2,5,5,7,2,2,2,5,5,6,,4.1
2,3,4,3,7,3,2,9,8,7,11,,5.7,,2,8,3,2,7,9,9,3,6,7,,5.6,,2,4,3,10,2,7,2,8,1,9,,4.8
3,2,10,8,2,11,3,6,4,3,5,,5.4,,2,6,7,3,8,2,3,8,5,6,,5,,2,9,2,6,5,2,9,4,2,9,,5
1,2,7,1,7,2,6,4,9,2,7,,4.7,,2,5,5,2,5,2,2,9,6,7,,4.5,,3,7,4,9,8,6,3,3,9,10,,6.2
2,2,4,3,8,3,2,6,1,4,6,,3.9,,2,6,3,3,8,7,1,9,3,9,,5.1,,2,8,3,7,3,3,9,8,10,14,,6.7
3,3,7,9,2,7,3,7,2,2,9,,5.1,,2,8,6,2,4,2,2,10,9,11,,5.6,,2,7,3,2,3,9,2,2,9,11,,5
1,3,7,10,3,9,4,9,8,2,8,,6.3,,2,7,6,1,8,7,3,2,4,8,,4.8,,2,10,3,7,8,4,2,4,7,9,,5.6
2,2,9,3,8,2,4,5,3,3,7,,4.6,,2,8,3,2,8,5,8,11,2,10,,5.9,,5,2,5,3,2,7,1,6,2,11,,4.4
3,2,6,7,1,9,2,7,3,6,11,,5.4,,2,6,3,7,7,3,5,7,9,11,,6,,2,4,1,8,5,2,7,2,8,7,,4.6
1,2,4,7,2,7,2,8,4,2,6,,4.4,,3,7,4,9,8,6,3,3,9,10,,6.2,,2,10,8,7,10,3,6,5,8,9,,6.8
2,10,3,6,2,7,7,2,8,3,8,,5.6,,2,5,3,15,3,7,3,10,8,8,,6.4,,5,2,4,3,2,5,8,2,2,10,,4.3
3,9,3,6,2,7,7,2,9,3,9,,5.7,,2,5,3,11,3,7,3,10,10,9,,6.3,,5,2,5,3,2,5,8,2,2,10,,4.4
1,3,7,9,1,7,3,7,2,2,8,,4.9,,2,8,6,2,4,2,2,10,9,10,,5.5,,2,7,3,2,3,9,2,2,9,9,,4.8
2,5,3,5,3,2,6,5,4,2,6,,4.1,,3,5,8,3,2,5,7,6,10,4,,5.3,,2,6,2,4,4,3,2,5,6,5,,3.9
3,7,3,5,3,2,6,5,4,2,7,,4.4,,3,5,8,3,2,5,7,6,11,5,,5.5,,2,7,2,4,4,3,2,6,6,7,,4.3
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,avg1,avg2,avg3,cond,length,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,5.2,5.2,4.7,1,5.0333333333,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,5.3,5.3,5.4,2,5.3333333333,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,4.9,4.9,4.7,3,4.8333333333,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,5.1,5.1,4.3,1,4.8333333333,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,4.7,4.7,6.3,2,5.2333333333,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,5.3,5.3,5.7,3,5.4333333333,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,4.2,4.2,5.1,1,4.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,4.9,4.9,5.8,2,5.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,4.1,4.1,6.9,3,5.0333333333,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,5.4,5.4,4.1,1,4.9666666667,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,5.7,5.7,4.8,2,5.4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,5.4,5.4,5,3,5.2666666667,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,4.7,4.7,6.2,1,5.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,3.9,3.9,6.7,2,4.8333333333,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,5.1,5.1,5,3,5.0666666667,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,6.3,6.3,5.6,1,6.0666666667,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,4.6,4.6,4.4,2,4.5333333333,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,5.4,5.4,4.6,3,5.1333333333,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,4.4,4.4,6.8,1,5.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,5.6,5.6,4.3,2,5.1666666667,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,5.7,5.7,4.4,3,5.2666666667,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,4.9,4.9,4.8,1,4.8666666667,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,4.1,4.1,3.9,2,4.0333333333,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,4.4,4.4,4.3,3,4.3666666667,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
