2,C'est,la,cantatrice,qu'une,souris,blanche,a,effrayé,en,couinant,,,,Le,voleur,que,son,complice,déloyal,a,abandonné,est,affaibli,,,,Le,locataire,qui,joue,du,violon,irrite,le,concierge,mélomane.
1,Les,filles,très,actives,s'amusent,pendant,que,les,garçons,dorment,,,,Les,nappes,sales,s'entassent,pendant,que,les,draps,propres,sèchent.,,,,Des,vents,forts,soufflent,dès,que,la,saison,froide,arrive.
3,tfmpv,qk,hmbmwctflb,vtcpsc,stnrst,psxsrqs,f,nsfdntjd,mn,gqtgbhsf,,,,sn,hrpqbb,qnf,dln,srncnmtg,bkgjrtrr,x,bdngcqfzqb,bdp,wclfttbk,,,,rx,drnjmpckw,llt,rscl,nm,bgjlnm,gqmklb,ln,qnrstptnt,vdcmqvgrclt
2,Le,camion,très,pressé,qui,dépasse,la,voiture,accidentée,l'éclabousse,,,,Au,musée,les,enfants,que,les,parents,grondent,sont,embarrassés,,,,C’est,ce,concert,que,la,chanteuse,rata,en,chantant,faux.
1,La,photo,lui,a,suggérée,un,sentiment,étrange,en,s’affichant.,,,,Les,moustiques,résistent,aux,insecticides,et,les,maladies,se,développent.,,,,Le,coureur,courageux,s'entraîne,assidûment,alors,que,son,adversaire,flâne.
3,rfq,dwwhdt,jtngc,jrrqmnp,rbckvdrst,zbvpsqm,mdj,dfp,bjcskpjb,ztrvtfz,,,,fvb,sllgld,gdlls,qxgpttdkmtd,clplxpl,wjj,bbh,sqgmn,vdwscmk,bldprgmsj,,,,dnc,tpnhs,bpvkj,lvlsjvsrs,pzmg,kbj,cx,bqnkkm,jlvljc,vbhfdwft
2,C’est,Jean,que,Marie,a,informé,en,lui,disant,tout.,,,,Les,bars,branchés,qui,ont,remplacé,les,anciens,restaurants,prospèrent.,,,,Comme,prévu,le,boxeur,dont,l'adversaire,est,moins,fort,gagne.
1,Le,comédien,était,excellent,et,le,public,a,applaudit,longuement.,,,,Elle,exige,d'éliminer,cette,solution,insensée,et,de,décider,seule.,,,,Les,dirigeants,dépriment,lorsque,les,ouvriers,les,plus,compétents,partent.
3,qs,hksncq,rmfzp,ptlpkrq,btx,nhndrgpg,gf,cnxxmcf,xxjpjlmljnr,hflsxsbcpkvvp,,,,sz,vdjbpj,tqq,grxtgfm,vkr,dcn,gjjjcnr,vjlrtrrs,jjxx,dqtgjjjkdsrd,,,,xqnjcqg,xt,npqmrtr,rrl,js,sdbvzmcrj,dqvm,td,ntpltlnn,qtljgp
2,Ce,sont,les,marins,que,les,mouettes,agacent,en,criant.,,,,Le,film,conceptuel,que,ce,cinéaste,présente,au,festival,déroute.,,,,La,forêt,vierge,qui,couvre,les,régions,tropicales,brûle,souvent.
1,Le,président,a,regretté,d'avoir,prononcé,des,phrases,très,agressives.,,,,Ce,cycliste,inconnu,est,arrivé,second,et,le,rédacteur,s'interroge.,,,,Le,dessert,au,chocolat,arrive,pendant,que,le,café,refroidit.
3,tp,qtstc,mtk,r,whdwqrqqbg,pz,lccnckjcp,vgfcnsrf,vc,ltxdlgpslfrplt,,,,bhc,dxktzchqlr,ststfnmsnh,qcl,crlrvmsdxscs,dk,mqc,fljbfspl,lj,qvlbccmdtqnwl,,,,fq,gqmbjcr,xgrjtcvhj,gjlbbsrhzfx,psfbqdlfnvt,tjsbt,sss,qrs,cgrrjjvpmc,phbspgzb
2,C'est,le,bateau,que,j'ai,affrété,pour,traverser,la,Manche.,,,,Le,maçon,qu'un,stagiaire,assiste,finit,la,chambre,à,coucher.,,,,les,soldats,que,les,officiers,critiquent,vont,se,battre,courageusement.
1,La,mairie,a,fait,venir,en,urgence,des,employés,inoccupés.,,,,Le,voleur,blessé,est,affaibli,et,son,complice,s'est,enfui.,,,,Les,maisons,de,banlieues,sont,détruites,et,des,immeubles,apparaissent.
3,hcpdlvn,vsqq,rcm,rfdcr,m,pfffnbgp,cj,hsb,cbmsmc,xmrvf,,,,rht,smgc,nmtdtdbsk,scq,rgt,bnzdtxdjc,tjr,sddrgbr,lfnkmgdsrxd,cbkjsnrjcjqk,,,,txxsn,xqsckb,lf,tvtghk,xxrr,tcpsnnldbkxv,prp,wlnkl,rlvq,qbjrkbd
2,C'est,l'escalier,que,les,clients,empruntent,pour,rejoindre,leurs,chambres.,,,,Le,chat,qui,guête,le,moineau,se,prépare,à,bondir.,,,,Le,contrôleur,que,le,juge,soupçonne,est,néanmoins,présumé,innocent.
1,La,mobylette,freine,aussitôt,que,le,vélo,rouge,foncé,s'arrête.,,,,Le,festival,commence,aujourd'hui,et,le,ténor,prépare,son,inauguration.,,,,Le,pompier,a,sauvé,une,jeune,femme,effrayée,par,l’incendie.
3,gx,xjrnfctlw,bqghjg,bdxcdsrqt,xn,ps,fgsmhk,b,cqmtjmdrt,jrhsgbkvgrb,,,,tlrr,vqrbs,kphlldssdds,wfqjn,dptbqtjt,mcjbsbjts,ld,sl,dcljhjrh,mnjpcs,,,,cxs,qrsdjldswq,jbhhfkhsxc,vjmncrt,mmp,qfkxcjsm,kfx,fqjb,tnztsgmthgp,gvfnfffhg
2,La,moto,qui,dépasse,le,scooter,s'engage,dans,la,pente.,,,,Les,soldats,que,les,officiers,critiquent,vont,se,battre,courageusement.,,,,C’est,une,punition,violente,que,le,professeur,regrette,d'avoir,administrée.
1,Le,problème,des,banques,apparaît,depuis,que,l'économie,est,ralentie.,,,,En,hiver,les,autoroutes,sont,dégagées,et,les,départementales,ferment.,,,,Le,chien,convoite,le,rôti,en,se,léchant,les,babines.
3,fdnts,qn,rjcdhs,dms,ltsj,mppmsztjn,bfnm,nnsdnzdwq,bz,rkblccs,,,,ff,vzpfgf,gmbfs,jjgcpvtxt,kgdrdng,nczfk,cp,zjkpsbl,gc,bqsckncl,,,,xfb,dwsxhhs,dqs,jgc,qwlbtlrgz,sjdjctrbpx,krrp,sp,pcrccs,bqpbqqpxjcvtdpjs
2,Ce,sont,ces,rideaux,que,les,châtons,abiment,en,grimpant.,,,,Le,paquebot,que,le,puissant,remorqueur,tire,rentre,au,port.,,,,La,hyène,est,aux,aguets,et,le,lion,roux,dort.
1,Le,joueur,a,sorti,une,carte,en,dissimulant,sa,manoeuvre.,,,,Ce,chien,est,peureux,et,les,chats,sauvages,prospèrent,ici.,,,,Le,stagiaire,encore,débutant,que,le,manager,compétent,encadre,s'active.
3,bs,bsfj,pbq,tjvjfv,frf,qjc,wrnfdsnc,qnclnnc,vt,rrsffmt,,,,tg,wcjv,vjxgxfsngm,ldp,vn,rstnsjsfg,bvswdgvvn,nr,khxgvjth,qccplrpwk,,,,dk,kvjcgl,lblccs,klv,fngfmm,gqn,xnbpdrpr,cmpbpcsxgt,dfmbqv,ssslgfqrx
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,qp,krdpqjmvls,r,dslszjdnm,gcrlzlf,njqpnrbrw,qmd,gcqsgbd,kslbc,jpdgdfvvnxs,,,,lq,ndlpvlqc,nrlwsbq,ddq,khpggfb,snsbbz,jp,kf,clntrlkcrf,klmzjgnhhdpz,,,,ks,pnsfqmx,mn,zqwfzzjd,crjrlp,xqnbpgx,tlf,cr,rdfns,fnjxbdrfrrj
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,tc,mtqwrn,d,vvng,rshbs,bc,qctxrpn,fcx,hdgsnslmc,bprgmqdsbqz,,,,jx,pbxqjg,xbsjmcd,ccr,xpmtbdlg,kf,dcj,zqrhttzn,kshbv,vhkkcx,,,,mfc,xrqwhnx,xs,vpdfctfvx,mhzh,qncsnngnfb,rb,frh,vgghpwtjf,svsdscjqktvcrf
3,bgjdb,rbdxctndlj,ltr,bfd,jcffljd,frlfswdnrb,rtlb,kjspcmrls,psclp,srbjllctr,,,,xj,vclr,tlf,ggpjjd,bs,tjtzjbs,rp,cgzrxrfj,ms,wrqcrtf,,,,nh,snsmqrltscp,lxm,js,njrd,jvfwvfdkvc,rjn,dzxddfshcj,cftqcmldb,pnmqhtglsn
3,pb,cjkxrsfrq,bmnlvm,cnlbjlglk,snx,jz,rgjsd,jmnjd,cfhslv,xmdpgccvxn,,,,cc,tckrvkjv,phnctrrg,smfprgnntnj,wk,ds,grtbxm,qlnqssnt,vnm,njqcdfssmpnmn,,,,mf,bsfbfhf,s,twzslt,mxn,cmdst,bgxpc,qkbrkrnds,gpl,dsvdnnllgmrhff
3,hl,cptt,lss,phvqpfcc,md,tbcqmtv,kvqbwtcp,mbmr,vn,xdslds,,,,css,dlkjrlg,gmf,clp,gsfqrtgbq,jrdrxrsxtj,fqtp,lx,jxktnl,pglppscjlllwqqr,,,,qjnnfsb,qpj,gpwmrhcc,dtjjqqtb,pcr,tl,zlbbtbgfcq,nhsplqjf,dpljsrg,bnmtvlfrjsspfj
3,mz,blbbsrxtf,tds,vjrrpff,dnsmfknmm,fncrtz,qcx,ddbpttnfvrb,vrn,dprrtrjsp,,,,dc,rldzn,fqw,npqcvcvjlb,lsgq,hqpvjsjzhg,hh,fgf,xddfdclhcbdjxpdb,lptgfmsg,,,,sq,bcptp,mpnfjncr,qr,vrrpf,sv,jv,wnrvsxjk,lmh,sdgqxtgqh
3,dm,mvsr,jkl,qlgqcnq,lwb,hcq,ncbxnvvr,pflrdnt,cj,lwrpddtxb,,,,sm,ftstrsng,fgt,gq,mzdrjctc,pqqtssdfqv,rmfs,ptmngj,rs,fvrgb,,,,rl,dgpfjf,gjx,tjn,fmrgmp,sj,lm,prvh,lxpj,vhkfrp
3,vk,sfztzt,c,lmmtl,bpl,vlcll,cj,glcbrstbrxs,bn,bsnqxxchdh,,,,zj,rfjsp,gds,rbrsjps,jr,mpk,bnsps,jrsbtdcz,gsvhqvvqcts,mbcd,,,,nf,svtpgspqn,crbmtd,dfncmmfzt,rrr,cj,plvdgws,xhpdtpspdm,xbtsgbm,fbjbglhxgx
